Title,ID,Meas,Published,DiagStatus,DepStatus,nDep,nCon,ageDep,ageCon,sex,edu,matchAge,matchEdu,IQDep,episode,onsetAge,onsetAgeCalc,onset,duration,durationCalc,med,Recruitment,MADRS,HDRS,BDI,BDICalc,HADS,CESD,GDS-30,SDS,DID,MASQ,d,cp,g,varg,Stat used,AMT,Positive,Neutral,Negative,Specific,Categoric
Anderson 2016: Experiment 2,51,4,1,0,1,27,26,20.7,20.12,0.704,,1,1,,,,,,,,,0,,,,,,26.56,,,,,-0.207983166,0.985221675,-0.204909523,0.075894688,Mean,0,0,0,1,0,1
Goddard 2001: Primed,52,1,1,,1,15,15,,,,,,,,,,,,,,,1,,,,,,,,,,,-2.045082993,0.972972973,-1.98981048,0.199322429,Mean,1,1,0,0,1,0
Goddard 2001: Primed,52,2,1,,1,15,15,,,,,,,,,,,,,,,1,,,,,,,,,,,-2.045082993,0.972972973,-1.163391601,0.155891334,Mean,1,0,0,1,1,0
Goddard 2001: non-primed,53,1,1,,1,15,15,,,,,,,,,,,,,,,1,,,,,,,,,,,-1.415348983,0.972972973,-1.377096308,0.164939904,Mean,1,1,0,0,1,0
Goddard 2001: non-primed,53,2,1,,1,15,15,,,,,,,,,,,,,,,1,,,,,,,,,,,-1.134700713,0.972972973,-1.104033126,0.153648152,Mean,1,0,0,1,1,0
Gupta 2012: Current MDD,54,2,1,1,1,10,10,40,43.6,0.5,16.5,1,1,,,37.5,37.5,,,30,,1,,22.8,,33.05970149,,,,,,,0.555962485,0.957746479,0.532471112,0.207088137,Mean,1,0,0,1,1,0
Gupta 2012: Current MDD,54,3,1,1,1,10,10,40,43.6,0.5,16.5,1,1,,,37.5,37.5,,,30,,1,,22.8,,33.05970149,,,,,,,-1.488534156,0.957746479,-1.425638347,0.250811117,Mean,1,0,1,0,1,0
Gupta 2012: Remitted MDD,55,2,1,1,0,10,10,43,43.6,0.5,15.7,1,1,,,37.9,37.9,,,60.6,,1,,6,,7.985074627,,,,,,,-0.600266151,0.957746479,-0.574902793,0.208262831,Mean,1,0,0,1,1,0
Gupta 2012: Remitted MDD,55,3,1,1,0,10,10,43,43.6,0.5,15.7,1,1,,,37.9,37.9,,,60.6,,1,,6,,7.985074627,,,,,,,-0.054413524,0.957746479,-0.052114361,0.200067898,Mean,1,0,1,0,1,0
Rekart 2006,56,1,0,0,1,67,56,,,0.627,,,,,,,,,,,,0,,,,,,,,,,3.3,0.180886253,0.99378882,0.179762736,0.032913876,Mean,1,1,0,0,1,0
Rekart 2006,56,2,0,0,1,67,56,,,0.627,,,,,,,,,,,,0,,,,,,,,,,3.3,-0.119736868,0.99378882,-0.118993161,0.032840074,Mean,1,1,0,0,0,1
Rekart 2006,56,3,0,0,1,67,56,,,0.627,,,,,,,,,,,,0,,,,,,,,,,3.3,-0.352046214,0.99378882,-0.349859592,0.033280084,Mean,1,0,0,1,1,0
