region1,region2,strength
L_precentral,R_superiorfrontal,9.0978
L_precuneus,L_rostralanteriorcingulate,7.8055
L_precuneus,L_rostralmiddlefrontal,8.0225
L_precuneus,L_superiorfrontal,9.9686
L_precuneus,L_superiorparietal,9.8840
L_precuneus,L_superiortemporal,7.0559
L_precuneus,L_insula,6.6922
L_precuneus,R_cuneus,6.3045
L_precuneus,R_isthmuscingulate,7.5150
L_precuneus,R_lateraloccipital,5.8776
L_precuneus,R_paracentral,7.8507
L_precuneus,R_postcentral,7.7934
L_precuneus,R_posteriorcingulate,6.8764
L_precuneus,R_precuneus,9.9507
L_precuneus,R_superiorfrontal,5.4327
L_precuneus,R_superiorparietal,9.5581
L_precuneus,R_supramarginal,5.8158
L_rostralanteriorcingulate,L_superiorfrontal,9.8715
L_rostralanteriorcingulate,L_frontalpole,6.1339
L_rostralanteriorcingulate,L_insula,6.2887
L_rostralanteriorcingulate,R_caudalanteriorcingulate,5.7641
L_rostralanteriorcingulate,R_lateralorbitofrontal,5.1437
L_rostralanteriorcingulate,R_medialorbitofrontal,6.8407
L_rostralanteriorcingulate,R_rostralanteriorcingulate,6.9444
L_rostralanteriorcingulate,R_rostralmiddlefrontal,2.6025
L_rostralanteriorcingulate,R_superiorfrontal,7.3290
L_rostralanteriorcingulate,R_frontalpole,4.0598
L_rostralanteriorcingulate,R_insula,3.6580
L_rostralmiddlefrontal,L_superiorfrontal,10.7399
L_rostralmiddlefrontal,L_superiorparietal,6.9903
L_rostralmiddlefrontal,L_frontalpole,7.2214
L_rostralmiddlefrontal,L_insula,8.6793
L_rostralmiddlefrontal,R_caudalanteriorcingulate,3.9099
L_rostralmiddlefrontal,R_caudalmiddlefrontal,7.9691
L_rostralmiddlefrontal,R_lateralorbitofrontal,5.3523
L_rostralmiddlefrontal,R_medialorbitofrontal,8.0171
L_rostralmiddlefrontal,R_parsorbitalis,5.3206
L_rostralmiddlefrontal,R_parstriangularis,6.8820
L_rostralmiddlefrontal,R_precentral,4.1114
L_rostralmiddlefrontal,R_rostralanteriorcingulate,3.6160
L_rostralmiddlefrontal,R_rostralmiddlefrontal,10.2918
L_rostralmiddlefrontal,R_superiorfrontal,10.3444
L_rostralmiddlefrontal,R_frontalpole,8.4333
L_superiorfrontal,L_superiorparietal,8.4823
L_superiorfrontal,L_frontalpole,8.0113
L_superiorfrontal,L_insula,9.1687
L_superiorfrontal,R_caudalanteriorcingulate,8.9097
L_superiorfrontal,R_caudalmiddlefrontal,9.7775
L_superiorfrontal,R_lateralorbitofrontal,4.8528
L_superiorfrontal,R_medialorbitofrontal,8.2748
L_superiorfrontal,R_paracentral,8.9633
L_superiorfrontal,R_parsopercularis,6.8871
L_superiorfrontal,R_parstriangularis,5.8704
L_superiorfrontal,R_posteriorcingulate,7.9051
L_superiorfrontal,R_precentral,9.2441
L_superiorfrontal,R_rostralanteriorcingulate,7.3611
L_superiorfrontal,R_rostralmiddlefrontal,10.0187
L_superiorfrontal,R_superiorfrontal,12.6150
L_superiorfrontal,R_frontalpole,8.0642
L_superiorfrontal,R_insula,5.8493
L_superiorparietal,L_superiortemporal,9.4398
L_superiorparietal,L_supramarginal,10.9052
L_superiorparietal,L_temporalpole,4.2996
L_superiorparietal,L_transversetemporal,7.9759
L_superiorparietal,L_insula,9.1492
L_superiorparietal,R_cuneus,8.1665
L_superiorparietal,R_inferiorparietal,6.8338
L_superiorparietal,R_inferiortemporal,6.8068
L_superiorparietal,R_isthmuscingulate,6.8743
L_superiorparietal,R_lateraloccipital,8.0248
L_superiorparietal,R_lingual,6.5699
L_superiorparietal,R_pericalcarine,7.0081
L_superiorparietal,R_postcentral,8.0326
L_superiorparietal,R_posteriorcingulate,4.4468
L_superiorparietal,R_precuneus,9.2228
L_superiorparietal,R_superiorparietal,10.3643
L_superiorparietal,R_supramarginal,7.2606
L_superiortemporal,L_supramarginal,10.3805
L_superiortemporal,L_temporalpole,8.4978
L_superiortemporal,L_transversetemporal,9.9102
L_superiortemporal,L_insula,10.2611
L_superiortemporal,R_precuneus,5.8435
L_supramarginal,L_transversetemporal,8.7277
L_supramarginal,L_insula,9.7232
L_supramarginal,R_postcentral,7.3087
L_supramarginal,R_superiorparietal,7.2803
L_frontalpole,R_lateralorbitofrontal,5.5318
L_frontalpole,R_medialorbitofrontal,8.8006
L_frontalpole,R_rostralmiddlefrontal,7.3704
L_frontalpole,R_superiorfrontal,8.4877
L_frontalpole,R_frontalpole,8.3157
L_temporalpole,L_insula,9.9882
L_temporalpole,R_temporalpole,3.9153
L_temporalpole,R_insula,3.3968
L_transversetemporal,L_insula,9.0751
L_insula,R_caudalanteriorcingulate,2.9278
L_insula,R_caudalmiddlefrontal,3.4124
L_insula,R_isthmuscingulate,2.8876
L_insula,R_lateralorbitofrontal,4.9931
L_insula,R_medialorbitofrontal,5.2851
L_insula,R_rostralanteriorcingulate,3.2858
L_insula,R_superiorfrontal,6.3331
L_insula,R_superiorparietal,5.5816
L_insula,R_frontalpole,2.5848
R_bankssts,R_inferiorparietal,9.4448
R_bankssts,R_inferiortemporal,4.9099
R_bankssts,R_medialorbitofrontal,1.2439
R_bankssts,R_middletemporal,9.8214
R_bankssts,R_superiortemporal,9.4747
R_bankssts,R_supramarginal,8.6162
R_caudalanteriorcingulate,R_caudalmiddlefrontal,4.1355
R_caudalanteriorcingulate,R_isthmuscingulate,7.6129
R_caudalanteriorcingulate,R_lateralorbitofrontal,6.4474
R_caudalanteriorcingulate,R_medialorbitofrontal,6.8972
R_caudalanteriorcingulate,R_parahippocampal,5.4585
R_caudalanteriorcingulate,R_parsopercularis,6.3788
R_caudalanteriorcingulate,R_posteriorcingulate,8.8889
R_caudalanteriorcingulate,R_precuneus,8.9934
R_caudalanteriorcingulate,R_rostralanteriorcingulate,8.8522
R_caudalanteriorcingulate,R_rostralmiddlefrontal,5.1852
R_caudalanteriorcingulate,R_superiorfrontal,10.6477
R_caudalanteriorcingulate,R_temporalpole,2.1785
R_caudalanteriorcingulate,R_insula,5.3697
R_caudalmiddlefrontal,R_inferiorparietal,9.5887
R_caudalmiddlefrontal,R_inferiortemporal,8.5707
R_caudalmiddlefrontal,R_parsopercularis,10.2438
R_caudalmiddlefrontal,R_parstriangularis,5.5128
R_caudalmiddlefrontal,R_postcentral,7.6328
R_caudalmiddlefrontal,R_precentral,10.8817
R_caudalmiddlefrontal,R_rostralmiddlefrontal,10.4161
